scope,total_questions,answerable_questions,unanswerable_questions,correct_answers,overall_answer_accuracy,document_hit_rate_at_k,mrr,answerable_correct_answers,answerable_answer_accuracy,citation_validity_rate,mean_ragas_faithfulness,mean_ragas_factual_correctness,mean_ragas_context_precision,abstention_accuracy,mean_total_latency_ms,p95_total_latency_ms,mean_rag_total_tokens,total_rag_tokens
All questions,40,32,8,12,0.3,0.40625,0.22760416666666666,4,0.125,0.725,0.591032767273576,0.31156249999999996,0.5603732638668601,1.0,2347.246782500224,4026.5253250057867,2647.8,105912
Hard,21,18,3,4,0.19047619047619047,0.4444444444444444,0.1824074074074074,1,0.05555555555555555,0.6666666666666666,0.5469771241830066,0.22944444444444445,0.5119598765221574,1.0,2545.0945904771547,4031.9654999984778,2589.8571428571427,54387
Medium,19,14,5,8,0.42105263157894735,0.35714285714285715,0.2857142857142857,3,0.21428571428571427,0.7894736842105263,0.6476757369614513,0.41714285714285715,0.6226190475957638,1.0,2128.57288947309,3086.682409999046,2711.842105263158,51525
